Model,Features,Constraints,Configurations,Homogeneity
security-CVE-VarelaVaca2020-2012-1938,447,349,20388,
systems_software-mace1-Berger2013,1235,3770,2.96e371,
security-CVE-VarelaVaca2020-2016-1973,340,831,81068,
systems_software-BusyBox-Pett2021-2008-10-15_14-50-14,558,579,4.72e167,
security-CVE-VarelaVaca2020-2009-3078,119,98,3880,
security-CVE-VarelaVaca2020-2019-17673,522,498,25844,
security-CVE-VarelaVaca2020-2015-4517,327,551,38924,
security-CVE-VarelaVaca2020-2009-2468,106,85,3360,
systems_software-soletta-Pett2023-2016-04-26_18-40-41,396,1559,8.07e118,
systems_software-ts6-Berger2013,1241,3235,1.89e373,
security-CVE-VarelaVaca2020-2016-2839,364,1177,257088,
systems_software-BusyBox-Pett2021-2009-01-22_13-27-14,573,598,1.55e172,
security-CVE-VarelaVaca2020-2020-7109,283,447,20480,
security-CVE-VarelaVaca2020-2016-2798,392,836,81224,
security-CVE-VarelaVaca2020-2012-3995,484,531,32532,
security-CVE-VarelaVaca2020-2009-3555,420,187,7480,
systems_software-Fiasco-Pett2023-2018-11-19_10-41-18,238,1302,2.21e71,
systems_software-se77x9-Berger2013,1320,49937,1.14e397,
security-CVE-VarelaVaca2020-2008-5511,103,65,740,
security-CVE-VarelaVaca2020-2011-3670,346,287,16704,
security-CVE-VarelaVaca2020-2009-1312,107,85,3324,
security-CVE-VarelaVaca2020-2012-1957,165,87,6040,
security-CVE-VarelaVaca2020-2013-0756,518,576,35640,
security-CVE-VarelaVaca2020-2019-17672,522,498,25844,
security-CVE-VarelaVaca2020-2009-2061,107,88,2784,
security-CVE-VarelaVaca2020-2018-0589,206,1,772,
security-CVE-VarelaVaca2020-2016-1952,551,1004,89872,
systems_software-uClibc-Pett2023-2008-11-14_00-35-40,236,1720,5.52e70,
systems_software-malta_mips32_4kc-Berger2013,1233,3213,7.40e370,
security-CVE-VarelaVaca2020-2017-18574,177,161,1288,
security-CVE-VarelaVaca2020-2013-0788,320,440,28924,
security-CVE-VarelaVaca2020-2015-7196,331,557,39336,
systems_software-soletta-Pett2023-2015-07-06_15-16-16,111,203,1.30e33,
security-CVE-VarelaVaca2020-2018-10234,213,1,800,
security-CVE-VarelaVaca2020-2013-1695,238,398,28016,
systems_software-soletta-Pett2023-2015-06-30_18-40-26,100,179,6.34e29,
security-CVE-VarelaVaca2020-2015-4485,340,551,38540,
security-CVE-VarelaVaca2020-2016-2825,367,882,85180,
security-CVE-VarelaVaca2020-2012-2400,109,87,3784,
systems_software-BusyBox-Pett2021-2010-04-29_13-43-39,631,681,4.46e189,
security-CVE-VarelaVaca2020-2015-0818,422,595,42624,
security-CVE-VarelaVaca2020-2016-2827,354,893,86768,
security-CVE-VarelaVaca2020-2013-0747,518,576,35640,
systems_software-BusyBox-Pett2021-2009-04-22_21-35-52,578,619,4.95e173,
systems_software-stm3210e_eval-Berger2013,1270,3200,1.02e382,
security-CVE-VarelaVaca2020-2014-9034,137,113,9856,
systems_software-calm16_ceb-Knüppel2017,1186,830,6.68e203,
security-CVE-VarelaVaca2020-2010-0220,114,98,1940,
systems_software-BusyBox-Pett2021-2009-04-20_22-04-21,577,617,2.47e173,
security-CVE-VarelaVaca2020-2014-1567,292,446,31780,
systems_software-edosk2674-Berger2013,1195,3034,2.69e359,
systems_software-Coreboot-Berger2013,12269,47091,1.09e3693,
security-CVE-VarelaVaca2020-2020-12407,478,1259,180336,
security-CVE-VarelaVaca2020-2011-3001,236,187,9624,
database-berkeleydb-Hierons2020,117,282,2.97e29,
security-CVE-VarelaVaca2020-2018-20714,195,172,6840,
security-CVE-VarelaVaca2020-2015-4473,341,551,38544,
systems_software-BusyBox-Pett2021-2007-08-21_10-26-55,464,490,2.38e139,
security-CVE-VarelaVaca2020-2015-2738,529,688,44940,
security-CVE-VarelaVaca2020-2018-20963,170,1,628,
security-CVE-VarelaVaca2020-2014-1551,429,891,75872,
security-CVE-VarelaVaca2020-2011-2371,321,266,55760,
systems_software-uClibc-Pett2023-2013-08-02_14-04-17,241,1333,1.77e72,
security-CVE-VarelaVaca2020-2018-12388,445,1132,162416,
security-CVE-VarelaVaca2020-2011-0055,195,167,4220,
systems_software-jmr3904-Berger2013,1200,3035,8.61e360,
security-CVE-VarelaVaca2020-2009-1311,148,121,4040,
security-CVE-VarelaVaca2020-2014-6412,359,337,14784,
security-CVE-VarelaVaca2020-2015-2455,130,62,49920,
security-CVE-VarelaVaca2020-2011-2983,282,195,8128,
systems_software-soletta-Pett2023-2016-03-24_11-34-06,366,1210,7.52e109,
security-CVE-VarelaVaca2020-2016-2807,366,843,81948,
security-CVE-VarelaVaca2020-2012-0443,124,73,4776,
security-CVE-VarelaVaca2020-2016-4566,391,366,16020,
security-CVE-VarelaVaca2020-2009-2334,129,99,4172,
security-CVE-VarelaVaca2020-2009-3077,119,98,3880,
security-CVE-VarelaVaca2020-2014-1548,415,578,37992,
security-CVE-VarelaVaca2020-2018-19796,241,225,1800,
security-CVE-VarelaVaca2020-2016-11085,137,1,496,
security-CVE-VarelaVaca2020-2014-1561,268,441,31420,
security-CVE-VarelaVaca2020-2017-14726,456,434,19052,
security-CVE-VarelaVaca2020-2013-0772,365,473,31224,
security-CVE-VarelaVaca2020-2012-3979,220,332,21564,
security-CVE-VarelaVaca2020-2013-2203,118,96,4180,
security-CVE-VarelaVaca2020-2019-14945,257,1,976,
security-CVE-VarelaVaca2020-2015-9360,106,1,372,
security-CVE-VarelaVaca2020-2015-7210,350,810,78936,
security-CVE-VarelaVaca2020-2010-0176,248,207,6444,
security-CVE-VarelaVaca2020-2008-0419,103,80,1448,
security-CVE-VarelaVaca2020-2017-5492,433,411,18040,
security-CVE-VarelaVaca2020-2012-3991,484,531,32532,
security-CVE-VarelaVaca2020-2014-1502,405,531,37820,
security-CVE-VarelaVaca2020-2016-4828,115,1,408,
security-CVE-VarelaVaca2020-2010-2766,267,226,7028,
security-CVE-VarelaVaca2020-2018-20838,133,1,480,
security-CVE-VarelaVaca2020-2013-0749,516,576,35632,
systems_software-BusyBox-Pett2021-2008-11-10_13-32-50,567,592,2.42e170,
security-CVE-VarelaVaca2020-2014-1584,276,466,33184,
systems_software-uClibc-Pett2023-2008-10-17_14-05-53,234,1717,1.38e70,
security-CVE-VarelaVaca2020-2020-26968,936,2123,573744,
security-CVE-VarelaVaca2020-2015-2736,528,689,44948,
systems_software-soletta-Pett2023-2016-04-19_18-34-18,393,1549,1.01e118,
security-CVE-VarelaVaca2020-2012-0469,158,85,5844,
security-CVE-VarelaVaca2020-2012-3990,488,532,32536,
security-CVE-VarelaVaca2020-2009-3072,119,98,3880,
security-CVE-VarelaVaca2020-2012-1947,162,87,5980,
systems_software-Fiasco-Pett2023-2018-02-09_09-07-52,229,1213,4.31e68,
security-CVE-VarelaVaca2020-2013-1723,480,606,40528,
systems_software-uClibc-Pett2023-2020-12-24_11-54-53,235,1670,2.76e70,
security-CVE-VarelaVaca2020-2010-3166,267,226,7028,
systems_software-BusyBox-Pett2021-2008-07-09_21-24-18,554,608,2.95e166,
security-CVE-VarelaVaca2020-2011-3659,388,308,17732,
security-CVE-VarelaVaca2020-2010-0179,243,202,6304,
security-CVE-VarelaVaca2020-2019-12566,174,1,644,
security-CVE-VarelaVaca2020-2016-2821,375,884,85192,
security-CVE-VarelaVaca2020-2009-2044,103,159,3240,
security-CVE-VarelaVaca2020-2010-0173,248,207,6444,
systems_software-Fiasco-Pett2023-2018-02-09_09-07-49,224,1111,1.35e67,
security-CVE-VarelaVaca2020-2020-15667,484,1277,182784,
systems_software-jtst-Berger2013,1242,3818,3.79e373,
systems_software-BusyBox-Pett2021-2007-10-07_20-46-34,472,508,6.10e141,
systems_software-soletta-Pett2023-2016-05-03_18-52-10,401,1574,2.58e120,
systems_software-cma28x-Knüppel2017,1217,849,3.22e207,
security-CVE-VarelaVaca2020-2014-1515,264,623,62016,
security-CVE-VarelaVaca2020-2018-9864,133,1,480,
systems_software-axTLS-Berger2013,685,2155,8.03e205,
security-CVE-VarelaVaca2020-2012-3973,199,329,21504,
systems_software-uClibc-Pett2023-2010-04-02_10-29-00,248,1743,2.26e74,
security-CVE-VarelaVaca2020-2011-2981,202,147,3872,
systems_software-uClibc-Pett2023-2011-10-27_12-48-31,243,1314,7.07e72,
security-CVE-VarelaVaca2020-2009-0771,180,147,3228,
security-CVE-VarelaVaca2020-2016-2826,359,1167,255432,
systems_software-uClibc-Pett2023-2012-04-18_00-09-02,246,1317,5.65e73,
security-CVE-VarelaVaca2020-2008-0420,151,118,2632,
systems_software-BusyBox-Pett2021-2009-08-21_00-05-51,593,645,1.62e178,
security-CVE-VarelaVaca2020-2012-3970,447,525,33200,
systems_software-eb40a-Berger2013,1242,3817,3.79e373,
security-CVE-VarelaVaca2020-2013-0769,536,581,35668,
security-CVE-VarelaVaca2020-2007-4841,145,112,2516,
security-CVE-VarelaVaca2020-2013-0784,504,579,36500,
hardware-printer-Mendonca2009,172,0,2.28e27,
security-CVE-VarelaVaca2020-2013-5595,475,578,37780,
systems_software-atlas_mips32_4kc-Berger2013,1217,3078,1.13e366,
security-CVE-VarelaVaca2020-2016-5836,388,366,16060,
systems_software-soletta-Pett2023-2016-03-01_10-32-30,356,1175,7.34e106,
systems_software-Fiasco-Pett2023-2018-03-21_10-31-39,234,1231,1.38e70,
systems_software-BusyBox-Pett2021-2009-11-21_18-32-19,604,660,3.32e181,
security-CVE-VarelaVaca2020-2016-5262,363,883,85708,
security-CVE-VarelaVaca2020-2013-1689,233,390,27336,
security-CVE-VarelaVaca2020-2016-10148,391,369,16192,
security-CVE-VarelaVaca2020-2014-5265,289,243,12124,
security-CVE-VarelaVaca2020-2013-0761,516,576,35632,
security-CVE-VarelaVaca2020-2018-7280,206,190,1520,
security-CVE-VarelaVaca2020-2012-1936,110,87,3784,
security-CVE-VarelaVaca2020-2015-2722,336,521,36536,
security-CVE-VarelaVaca2020-2015-2503,141,60,1044,
systems_software-windows-Mendonca2009-8,461,138,1.30e64,
security-CVE-VarelaVaca2020-2020-28039,546,522,27092,
systems_software-Buildroot-Berger2013,14911,45603,2.28e4488,
security-CVE-VarelaVaca2020-2015-4501,318,550,38896,
systems_software-ec555-Knüppel2017,1280,863,8.78e219,
security-CVE-VarelaVaca2020-2014-9031,134,112,4884,
systems_software-mb93091-Berger2013,1251,3131,1.94e376,
systems_software-soletta-Pett2023-2015-08-21_13-54-55,226,704,5.39e67,
security-CVE-VarelaVaca2020-2020-26596,554,523,27096,
security-CVE-VarelaVaca2020-2015-0835,289,492,34952,
systems_software-uClibc-Pett2023-2016-11-27_22-32-11,236,1232,5.52e70,
security-CVE-VarelaVaca2020-2015-4486,340,551,38540,
security-CVE-VarelaVaca2020-2014-8809,197,1,736,
systems_software-Embtoolkit-Knüppel2017,1179,323,6.93e185,
systems_software-uClibc-Pett2023-2013-12-20_14-38-23,244,1407,1.41e73,
security-CVE-VarelaVaca2020-2010-1201,139,95,3928,
security-CVE-VarelaVaca2020-2019-14947,255,1,968,
systems_software-soletta-Pett2023-2015-07-06_11-47-21,110,202,6.49e32,
security-CVE-VarelaVaca2020-2015-4489,341,552,38544,
security-CVE-VarelaVaca2020-2016-1940,333,822,80244,
security-CVE-VarelaVaca2020-2009-2472,131,94,1700,
security-CVE-VarelaVaca2020-2012-4207,514,550,33600,
systems_software-uClibc-Pett2023-2011-04-20_12-50-38,256,1818,5.79e76,
systems_software-uClibc-Pett2023-2013-01-10_10-56-19,249,1322,4.52e74,
systems_software-uClibc-Pett2023-2009-02-24_18-42-38,239,1731,4.42e71,
security-CVE-VarelaVaca2020-2015-2456,130,62,49920,
security-CVE-VarelaVaca2020-2017-18570,152,1,556,
security-CVE-VarelaVaca2020-2016-5274,360,894,86784,
security-CVE-VarelaVaca2020-2012-1958,165,87,6040,
security-CVE-VarelaVaca2020-2015-7189,331,557,39336,
security-CVE-VarelaVaca2020-2014-1564,281,448,31708,
security-CVE-VarelaVaca2020-2012-3971,429,523,33144,
security-CVE-VarelaVaca2020-2013-4340,120,98,4268,
security-CVE-VarelaVaca2020-2016-2822,375,884,85192,
security-CVE-VarelaVaca2020-2014-1538,421,573,37700,
systems_software-BusyBox-Pett2021-2010-03-26_14-06-56,627,689,2.78e188,
security-CVE-VarelaVaca2020-2015-7216,343,1075,157800,
systems_software-malta_mips64_5kc-Knüppel2017,1245,865,5.23e214,
security-CVE-VarelaVaca2020-2013-0763,536,581,35668,
security-CVE-VarelaVaca2020-2015-0822,463,644,42180,
security-CVE-VarelaVaca2020-2014-1544,478,578,38140,
systems_software-ubuntu-Mendonca2009-14.10,263,72,3.03e31,
security-CVE-VarelaVaca2020-2014-1589,395,568,40796,
systems_software-BusyBox-Pett2021-2008-02-24_23-32-36,551,585,3.69e165,
security-CVE-VarelaVaca2020-2017-18547,157,1,576,
security-CVE-VarelaVaca2020-2018-20981,229,213,1704,
security-CVE-VarelaVaca2020-2018-0586,206,1,772,
security-CVE-VarelaVaca2020-2018-13389,279,265,2120,
systems_software-stm3210e_eval-Knüppel2017,1283,873,2.63e211,
security-CVE-VarelaVaca2020-2011-2374,257,217,12020,
systems_software-uClibc-Pett2023-2015-02-20_15-41-13,248,1437,2.26e74,
systems_software-soletta-Pett2023-2015-10-05_16-26-18,280,886,9.71e83,
security-CVE-VarelaVaca2020-2019-8070,130,106,8320,
security-CVE-VarelaVaca2020-2015-4512,322,797,77792,
systems_software-BusyBox-Pett2021-2009-11-01_23-05-09,603,658,1.66e181,
security-CVE-VarelaVaca2020-2013-0773,508,580,36504,
security-CVE-VarelaVaca2020-2016-5833,388,366,16060,
systems_software-ToyBox-Berger2013,545,1020,5.76e163,
security-CVE-VarelaVaca2020-2012-1967,165,87,6040,
security-CVE-VarelaVaca2020-2009-1835,149,122,4104,
security-CVE-VarelaVaca2020-2009-2463,137,94,3764,
security-CVE-VarelaVaca2020-2019-9912,129,1,464,
security-CVE-VarelaVaca2020-2010-3771,192,164,4140,
security-CVE-VarelaVaca2020-2016-5275,354,893,86768,
security-CVE-VarelaVaca2020-2017-7760,487,1502,195056,
security-CVE-VarelaVaca2020-2014-5204,203,177,7704,
security-CVE-VarelaVaca2020-2013-1686,384,514,33496,
security-CVE-VarelaVaca2020-2014-1529,592,678,44436,
systems_software-BusyBox-Pett2021-2008-10-24_22-43-27,561,581,3.77e168,
systems_software-soletta-Pett2023-2016-01-25_16-16-52,335,1105,3.50e100,
security-CVE-VarelaVaca2020-2012-4217,480,544,33520,
systems_software-uClibc-Pett2023-2011-03-03_18-22-47,251,1751,1.81e75,
security-CVE-VarelaVaca2020-2020-6801,471,1238,177480,
systems_software-uClibc-Pett2023-2012-06-15_14-00-44,246,1314,5.65e73,
security-CVE-VarelaVaca2020-2012-0442,392,309,17740,
security-CVE-VarelaVaca2020-2010-1196,142,95,3940,
security-CVE-VarelaVaca2020-2012-0462,140,77,5056,
security-CVE-VarelaVaca2020-2017-18499,127,1,456,
security-CVE-VarelaVaca2020-2017-9064,443,416,18224,
systems_software-BusyBox-Pett2021-2007-11-23_23-28-55,480,510,1.56e144,
security-CVE-VarelaVaca2020-2012-6634,110,88,3828,
security-CVE-VarelaVaca2020-2016-5251,350,881,85680,
systems_software-BusyBox-Pett2021-2008-02-15_15-17-23,503,533,1.31e151,
security-CVE-VarelaVaca2020-2016-7169,411,389,17072,
systems_software-asb-Berger2013,1232,3081,3.70e370,
systems_software-edb7xxx-Knüppel2017,1259,900,9.42e217,
security-CVE-VarelaVaca2020-2012-1976,482,524,31900,
systems_software-BusyBox-Pett2021-2009-11-08_18-03-09,604,660,3.32e181,
security-CVE-VarelaVaca2020-2014-1488,407,530,37492,
security-CVE-VarelaVaca2020-2016-1969,372,832,81192,
security-FRSCS-Mendonca2009,,,,
security-CVE-VarelaVaca2020-2016-10926,150,1,548,
systems_software-vads-Berger2013,1241,3235,1.89e373,
security-CVE-VarelaVaca2020-2015-9313,108,1,380,
security-CVE-VarelaVaca2020-2012-3978,447,525,33200,
security-CVE-VarelaVaca2020-2010-1585,293,252,7916,
systems_software-h8s_sim-Berger2013,1184,3003,1.31e356,
security-CVE-VarelaVaca2020-2013-0792,299,437,28864,
security-CVE-VarelaVaca2020-2011-1712,203,175,4420,
security-CVE-VarelaVaca2020-2019-17515,275,1,1048,
systems_software-BusyBox-Pett2021-2008-09-22_21-34-24,549,569,9.21e164,
systems_software-at91sam7xek-Knüppel2017,1332,928,3.02e227,
security-CVE-VarelaVaca2020-2012-0463,352,293,11784,
systems_software-uClibc-Pett2023-2013-05-19_01-09-07,240,1332,8.83e71,
security-CVE-VarelaVaca2020-2020-11029,546,517,26788,
systems_software-BusyBox-Pett2021-2007-08-13_14-10-24,464,491,2.38e139,
security-CVE-VarelaVaca2020-2019-16220,521,497,25792,
security-CVE-VarelaVaca2020-2019-6112,108,1,380,
security-CVE-VarelaVaca2020-2019-14801,286,271,2160,
security-CVE-VarelaVaca2020-2012-2375,1101,1995,561600,
security-CVE-VarelaVaca2020-2013-1715,243,581,56304,
security-CVE-VarelaVaca2020-2016-1957,551,1004,89872,
systems_software-uClibc-Pett2023-2016-11-04_00-03-07,238,1234,2.21e71,
security-CVE-VarelaVaca2020-2016-5254,363,883,85708,
security-CVE-VarelaVaca2020-2010-3177,186,158,3980,
security-CVE-VarelaVaca2020-2016-5266,350,881,85680,
security-CVE-VarelaVaca2020-2007-3073,119,106,46440,
security-CVE-VarelaVaca2020-2012-6707,457,435,19096,
systems_software-BusyBox-Pett2021-2007-06-10_17-11-59,448,473,3.63e134,
security-CVE-VarelaVaca2020-2008-5512,103,65,740,
security-CVE-VarelaVaca2020-2013-1713,460,569,37224,
security-CVE-VarelaVaca2020-2010-0178,166,138,3500,
security-CVE-VarelaVaca2020-2013-0801,378,508,33032,
security-CVE-VarelaVaca2020-2015-9297,143,122,3416,
systems_software-soletta-Pett2023-2016-03-30_14-31-18,384,1284,1.97e115,
systems_software-soletta-Pett2023-2015-07-02_11-02-35,104,183,1.01e31,
security-CVE-VarelaVaca2020-2013-1669,235,393,27608,
systems_software-BusyBox-Pett2021-2007-06-13_07-34-15,450,475,1.45e135,
systems_software-uClibc-Pett2023-2016-11-27_16-35-32,238,1234,2.21e71,
systems_software-aki3068net-Knüppel2017,1220,851,1.29e207,
security-CVE-VarelaVaca2020-2016-9263,457,435,19096,
security-CVE-VarelaVaca2020-2015-4508,318,550,38896,
security-CVE-VarelaVaca2020-2011-0073,204,174,8800,
systems_software-soletta-Pett2023-2015-10-05_18-01-56,283,894,7.77e84,
security-CVE-VarelaVaca2020-2018-19370,182,162,4508,
automotive-automotive2-Knüppel2017-2_4,18616,1369,1.64e1596,
systems_software-BusyBox-Pett2021-2008-02-18_21-08-49,537,570,2.25e161,
security-CVE-VarelaVaca2020-2015-7220,339,809,78900,
systems_software-soletta-Pett2023-2015-12-10_16-11-17,320,1048,1.07e96,
security-CVE-VarelaVaca2020-2020-28032,546,522,27092,
security-CVE-VarelaVaca2020-2017-9062,443,416,18224,
systems_software-uClibc-Pett2023-2012-06-15_14-00-36,246,1312,5.65e73,
security-CVE-VarelaVaca2020-2013-1674,378,508,33032,
security-CVE-VarelaVaca2020-2019-8943,498,473,45312,
security-CVE-VarelaVaca2020-2012-5829,514,550,33600,
systems_software-uClibc-Pett2023-2010-09-17_13-06-58,252,1749,3.62e75,
security-CVE-VarelaVaca2020-2010-0648,115,99,1960,
systems_software-BusyBox-Pett2021-2008-02-27_09-39-04,546,582,1.15e164,
systems_software-vads-Knüppel2017,1253,865,8.27e212,
security-CVE-VarelaVaca2020-2013-0764,527,587,36552,
security-CVE-VarelaVaca2020-2020-6008,245,1,928,
security-CVE-VarelaVaca2020-2011-2982,255,180,5788,
e_commerce-e_shop-Lau2006,,,,
security-CVE-VarelaVaca2020-2013-0783,528,585,36540,
security-CVE-VarelaVaca2020-2014-1592,600,716,47972,
security-CVE-VarelaVaca2020-2010-5074,309,264,9204,
systems_software-soletta-Pett2023-2016-05-09_16-15-26,410,1616,1.32e123,
systems_software-BusyBox-Pett2021-2010-01-06_09-19-04,611,670,4.25e183,
security-CVE-VarelaVaca2020-2015-2728,333,520,36532,
security-CVE-VarelaVaca2020-2015-7192,325,806,78608,
finance-FinancialServices01-Nieke2018-2018-01-23,,,,
security-CVE-VarelaVaca2020-2011-2992,168,127,5084,
security-CVE-VarelaVaca2020-2016-1938,427,824,80596,
systems_software-BusyBox-Pett2021-2008-04-05_02-44-30,535,562,5.62e160,
security-CVE-VarelaVaca2020-2013-1711,311,452,31688,
security-CVE-VarelaVaca2020-2019-18834,160,1,588,
systems_software-mbx-Knüppel2017,1308,889,8.26e222,
systems_software-soletta-Pett2023-2016-03-07_18-19-52,356,1181,7.34e106,
security-CVE-VarelaVaca2020-2012-3961,482,524,31900,
security-CVE-VarelaVaca2020-2009-3985,170,137,5400,
systems_software-cq7750-Knüppel2017,1281,864,2.75e222,
security-CVE-VarelaVaca2020-2015-4478,336,550,38536,
systems_software-BusyBox-Pett2021-2008-02-16_23-28-42,504,537,2.62e151,
security-CVE-VarelaVaca2020-2013-0775,528,585,36540,
security-CVE-VarelaVaca2020-2015-0833,482,997,168768,
security-CVE-VarelaVaca2020-2015-4062,103,1,356,
security-CVE-VarelaVaca2020-2012-1941,162,87,5980,
security-CVE-VarelaVaca2020-2018-20151,489,461,22040,
security-CVE-VarelaVaca2020-2015-0824,304,497,34984,
security-CVE-VarelaVaca2020-2014-8810,198,1,736,
security-CVE-VarelaVaca2020-2011-0077,206,137,5840,
systems_software-uClibc-Pett2023-2016-06-07_04-14-23,231,1170,1.73e69,
security-CVE-VarelaVaca2020-2009-0773,180,147,3228,
systems_software-skmb91302-Berger2013,1218,3052,2.26e366,
security-CVE-VarelaVaca2020-2012-4203,206,341,22400,
security-CVE-VarelaVaca2020-2016-4827,115,1,408,
security-CVE-VarelaVaca2020-2014-1580,276,466,33184,
security-CVE-VarelaVaca2020-2016-5252,363,883,85708,
security-CVE-VarelaVaca2020-2015-2731,499,678,44884,
systems_software-BusyBox-Pett2021-2007-06-12_08-12-33,448,473,3.63e134,
security-CVE-VarelaVaca2020-2013-0781,504,579,36500,
systems_software-uClibc-Pett2023-2009-11-19_17-57-37,245,1737,2.83e73,
security-CVE-VarelaVaca2020-2015-9172,114,52,2808,
security-CVE-VarelaVaca2020-2008-0416,151,118,2632,
security-CVE-VarelaVaca2020-2015-7182,441,563,39724,
security-CVE-VarelaVaca2020-2015-0801,508,651,42844,
security-CVE-VarelaVaca2020-2015-2713,491,661,43128,
security-CVE-VarelaVaca2020-2013-5602,475,578,37780,
security-CVE-VarelaVaca2020-2014-1575,276,466,33184,
security-CVE-VarelaVaca2020-2017-8295,438,415,18216,
security-CVE-VarelaVaca2020-2011-2362,306,264,8772,
security-CVE-VarelaVaca2020-2015-9315,104,1,364,
security-CVE-VarelaVaca2020-2020-15663,539,1301,183420,
security-CVE-VarelaVaca2020-2019-14328,156,1,568,
security-CVE-VarelaVaca2020-2008-4107,170,134,13300,
security-CVE-VarelaVaca2020-2009-0357,128,101,3036,
systems_software-uClibc-Pett2023-2013-03-14_22-45-15,253,1475,7.24e75,
security-CVE-VarelaVaca2020-2008-0415,151,118,2632,
systems_software-soletta-Pett2023-2015-09-17_11-23-35,272,847,3.79e81,
security-CVE-VarelaVaca2020-2014-8637,403,583,41824,
security-CVE-VarelaVaca2020-2008-4058,180,138,2952,
security-CVE-VarelaVaca2020-2019-19982,136,1,492,
security-CVE-VarelaVaca2020-2009-3981,166,133,5204,
security-CVE-VarelaVaca2020-2007-5337,102,145,2672,
security-CVE-VarelaVaca2020-2019-13635,110,1,388,
security-CVE-VarelaVaca2020-2019-17670,522,498,25844,
security-CVE-VarelaVaca2020-2016-2837,363,883,85708,
security-CVE-VarelaVaca2020-2016-5284,361,894,86788,
security-CVE-VarelaVaca2020-2019-20361,140,1,504,
systems_software-soletta-Pett2023-2015-10-05_17-35-00,282,893,3.89e84,
systems_software-Fiasco-Pett2023-2018-02-09_09-07-50,225,1141,2.70e67,
security-CVE-VarelaVaca2020-2012-3980,356,455,27956,
security-CVE-VarelaVaca2020-2017-6818,435,413,18128,
