Model,Features,Constraints,Configurations,Homogeneity
model_20111220_1450733948,41,0,6912,
model_20120109_1808102333,18,2,48,
model_20120110_1094246588,10,2,24,
model_20120110_1256867454,10,2,24,
model_20120110_139114401,10,2,24,
model_20120110_1719396361,10,2,24,
model_20120110_1754443954,10,1,24,
model_20120110_855603964,10,2,24,
model_20120111_1667229430,24,2,288,
model_20120113_1803352101,43,2,75264,
model_20120113_1950870026,10,1,28,
model_20120122_258977494,19,5,216,
model_20120124_94644767,12,0,240,
model_20120130_333619036,31,0,184320,
model_20120201_1444061231,38,11,31104,
model_20120201_865979127,28,17,21168,
model_20120201_899753062,27,17,1920,
model_20120202_114979109,22,5,144,
model_20120202_1596034358,10,1,28,
model_20120205_24117969,34,0,2520,
model_20120229_1103715736,14,0,462,
model_20120314_1438691117,13,0,1,
model_20120328_1227899142,21,2,2560,
model_20120328_1309817018,14,0,1536,
model_20120328_1357539597,18,1,696,
model_20120328_1373483522,13,2,30,
model_20120328_1412454948,36,0,378000,
model_20120328_1667195252,24,1,46080,
model_20120328_1814590478,36,0,378000,
model_20120328_1974817485,13,0,80,
model_20120328_288933955,17,3,128,
model_20120328_361613983,16,2,120,
model_20120328_523540818,10,0,8,
model_20120328_573707444,34,1,30720,
model_20120328_593032745,19,0,72,
model_20120328_663906927,28,1,6144,
model_20120328_794090001,22,0,12,
model_20120328_810464459,17,0,96,
model_20120329_788560154,55,0,2.17e11,
model_20120408_404695779,70,1,1.06e17,
model_20120411_196667302,26,3,1440,
model_20120412_1314362396,12,0,24,
model_20120418_828883554,52,0,331776,
model_20120419_1397354511,20,2,1536,
model_20120422_1648870831,14,2,144,
model_20120422_2100930135,25,4,4608,
model_20120423_1196408273,16,0,96,
model_20120423_1625073325,32,0,73728,
model_20120424_1703152596,59,0,4.11e7,
model_20120425_1998125226,71,0,4.50e13,
model_20120510_220834497,53,0,9.73e7,
model_20120512_712347860,13,0,42,
model_20120513_373795895,14,0,48,
model_20120515_1862354569,15,1,32,
model_20120522_87989914,35,20,9.44e6,
model_20120528_1294065815,13,0,28,
model_20120529_2101702978,35,23,1.74e6,
model_20120531_2078087379,17,3,21,
model_20120609_84195762,26,0,512,
model_20120627_1512389149,11,2,12,
model_20120701_1498696792,11,0,56,
model_20120701_899073101,11,0,56,
model_20120705_77954373,22,0,5280,
model_20120710_919309758,19,0,30,
model_20120717_770767926,11,0,18,
model_20120718_813832704,11,1,12,
model_20120722_2065280700,13,1,20,
model_20120725_1460954667,97,1,1.59e13,
model_20120728_275737618,14,0,1905,
model_20120731_787433291,43,3,4.52e6,
model_20120801_1784537083,12,0,42,
model_20120806_904481092,17,1,168,
model_20120822_650185552,25,6,1296,
model_20120823_304633016,16,7,162,
model_20120824_761159432,23,4,864,
model_20120828_1516795545,13,0,18,
model_20120829_1418879889,10,0,3,
model_20120829_191972511,168,46,2.95e25,
model_20120829_28461699,11,2,98,
model_20120829_881090911,10,0,32,
model_20120902_865058601,19,0,1050,
model_20120904_1604580471,13,0,18,
model_20120905_104354355,13,0,16,
model_20120909_341305614,32,2,199136,
model_20120915_487659597,20,1,208,
model_20120920_383492576,11,1,12,
model_20121015_1348696629,10,1,8,
model_20121017_2007593800,10,0,30,
model_20121018_1186774722,16,0,280,
model_20121018_1495134161,17,0,420,
model_20121018_1550648286,16,0,140,
model_20121018_1578042435,17,0,420,
model_20121018_1639434192,17,0,420,
model_20121018_1701181193,17,0,420,
model_20121018_1875808662,16,0,140,
model_20121018_1970318852,16,0,140,
model_20121018_201916182,16,0,140,
model_20121018_242475712,16,0,140,
model_20121018_271963732,16,0,140,
model_20121018_436901160,16,0,140,
model_20121018_795335675,16,0,140,
model_20121018_820869482,16,0,140,
model_20121018_880874071,16,0,280,
model_20121019_1128529660,14,0,72,
model_20121023_1328975384,14,0,70,
model_20121023_356761254,12,0,32,
model_20121025_1453237615,20,0,48,
model_20121025_1656878048,26,0,12288,
model_20121026_334751192,28,0,230400,
model_20121102_443205816,26,0,540,
model_20121102_768518520,14,0,1028,
model_20121106_1816491064,23,0,2040,
model_20121123_1014773113,16,1,24,
model_20121123_1047250318,16,2,24,
model_20121123_1266693931,16,0,112,
model_20121123_1445508018,16,0,96,
model_20121123_1588832561,16,0,16,
model_20121123_1668268132,13,2,36,
model_20121123_1672558767,15,2,8,
model_20121123_1692800929,16,1,24,
model_20121123_1807427529,17,1,8,
model_20121123_2085968892,17,0,24,
model_20121123_388334786,16,2,24,
model_20121123_638033800,14,0,8,
model_20121123_913179730,17,1,168,
model_20121212_1167666293,15,2,8,
model_20121212_425431925,16,0,140,
model_20121213_681234650,33,0,52500,
model_20121214_211817376,14,2,192,
model_20121219_1714348674,10,0,160,
model_20121219_629525870,18,9,64,
model_20130105_1019508207,24,4,46080,
model_20130106_749900457,21,0,2976,
model_20130115_768867592,11,1,12,
model_20130116_1542765516,10,0,6,
model_20130116_382639902,31,9,5184,
model_20130117_2075912065,13,5,12,
model_20130121_710180273,10,3,4,
model_20130122_1064508817,12,7,12,
model_20130122_243381566,14,0,504,
model_20130122_92211527,11,7,24,
model_20130123_686198065,40,0,4.42e7,
model_20130125_189285641,18,1,12,
model_20130219_1778040846,40,0,3.53e7,
model_20130220_406091727,43,5,5.12e6,
model_20130224_1469220523,10,0,20,
model_20130226_1908057354,16,3,36,
model_20130302_1361528923,10,3,128,
model_20130302_379367837,10,1,44,
model_20130305_204544380,13,2,72,
model_20130305_522520932,16,3,48,
model_20130307_609838668,176,4,7.86e31,
model_20130309_1354780318,11,0,3,
model_20130311_1184229274,11,0,24,
model_20130324_1541392486,51,0,2.08e6,
model_20130410_2115212559,11,0,4,
model_20130414_861625706,15,0,147,
model_20130418_1158438101,19,2,128,
model_20130418_1960440366,29,4,249984,
model_20130422_1348727660,19,0,1440,
model_20130422_139902368,40,0,6144,
model_20130426_1685243628,16,0,1248,
model_20130508_1842381745,16,0,96,
model_20130510_203163945,18,0,252,
model_20130522_1326579656,45,0,6.60e9,
model_20130522_2044729096,31,0,11520,
model_20130529_1162054266,16,1,80,
model_20130529_1165512118,10,0,16,
model_20130529_1187431770,16,1,80,
model_20130529_167247656,16,1,80,
model_20130529_1911302663,16,1,80,
model_20130529_2135483929,16,2,140,
model_20130529_51708559,16,2,140,
model_20130529_552715089,17,1,120,
model_20130604_1500555803,13,0,2,
model_20130619_405989942,10,0,12,
model_20130621_2143921379,29,5,270144,
model_20130627_888588099,17,0,84,
model_20130703_1107240012,64,2,3.53e6,
model_20130716_384525556,17,0,192,
model_20130722_443972122,12,0,72,
model_20130725_1746580783,16,1,1785,
model_20130725_1929838118,41,0,651,
model_20130725_608010428,12,0,257,
model_20130726_597280131,47,7,50064,
model_20130731_2029107317,76,0,5.74e12,
model_20130807_1787614695,13,0,1,
model_20130808_465499656,22,0,3072,
model_20130809_353548541,57,0,1.04e12,
model_20130811_391981530,41,11,4.41e7,
model_20130812_1882708509,41,10,5.24e7,
model_20130812_690840910,30,6,459840,
model_20130815_1890929461,56,11,3.29e9,
model_20130818_278315719,10,0,36,
model_20130820_1465112187,49,0,8192,
model_20130821_1446947208,49,0,1,
model_20130821_361829065,30,0,16,
model_20130821_470005647,43,0,64,
model_20130908_1057721135,14,0,8,
model_20130908_1070185514,366,181,8.98e98,
model_20130908_2094539725,81,0,4.49e11,
model_20130911_2001583567,34,0,10368,
model_20130916_1001858303,15,2,40,
model_20130916_1112744253,15,2,80,
model_20130916_1448418245,14,2,40,
model_20130916_1467348272,16,2,40,
model_20130916_156611854,17,0,420,
model_20130916_1649901124,16,0,80,
model_20130916_1894002979,16,1,80,
model_20130916_1980915056,15,2,40,
model_20130916_1983257725,16,0,80,
model_20130916_2072761889,15,2,40,
model_20130916_302923469,16,2,40,
model_20130916_330769314,17,1,20,
model_20130916_552778902,16,1,10,
model_20130916_667715515,16,1,80,
model_20130916_882364260,15,2,40,
model_20130916_894347834,15,2,40,
model_20130917_1805517149,13,4,36,
model_20130917_737900063,13,4,36,
model_20131016_1224723724,11,2,80,
model_20131028_1719041666,19,0,8,
model_20131109_2060894287,14,3,48,
model_20131111_1434736548,34,3,47628,
model_20131111_1486670620,21,0,2385,
model_20131112_1165253679,27,0,31752,
model_20131112_1191150070,57,1,244608,
model_20131112_1315617761,58,6,7.87e9,
model_20131112_1353790761,23,0,3072,
model_20131112_1399418967,35,0,362880,
model_20131112_1591180910,29,0,76545,
model_20131112_1592384504,32,0,1.13e6,
model_20131112_1617262618,30,0,5120,
model_20131112_1630582425,28,0,16128,
model_20131112_1825068383,25,5,155520,
model_20131112_1840652917,17,1,1792,
model_20131112_1855381012,31,0,1.64e6,
model_20131112_2028027455,13,0,112,
model_20131112_330151541,21,0,1512,
model_20131112_356575914,20,0,1344,
model_20131112_605989901,25,0,10584,
model_20131112_64627122,13,0,84,
model_20131112_817529963,40,0,1568,
model_20131112_832913408,17,0,20,
model_20131112_990013628,10,0,16,
model_20131113_2067550021,42,4,26112,
model_20131114_87095598,57,4,2.59e6,
model_20131121_194495737,12,2,36,
model_20131122_1083650489,15,0,8,
model_20131122_1241273029,18,0,16,
model_20131122_1558809462,26,0,272,
model_20131122_1573422851,15,0,72,
model_20131122_1877947099,15,0,72,
model_20131122_224574976,11,0,2,
model_20131122_23346211,15,0,40,
model_20131122_641443746,14,0,4,
model_20131122_913576973,23,0,80,
model_20131124_646639708,16,1,48,
model_20131125_731391866,18,1,192,
model_20131128_2046989275,15,0,256,
model_20131129_1765219729,14,2,96,
model_20131129_1795005487,10,2,24,
model_20131129_2135897376,10,2,24,
model_20131201_820966647,18,1,192,
model_20131202_1494824194,34,0,3072,
model_20131202_1575628003,19,0,512,
model_20131202_1775789712,50,0,626688,
model_20131202_533920013,19,0,512,
model_20131202_715513367,22,0,2048,
model_20131203_151571988,54,1,7392,
model_20131206_656913635,13,2,176,
model_20131206_684654596,12,2,48,
model_20131210_413521746,13,3,36,
model_20131217_806985744,11,0,20,
model_20140101_941325443,10,0,10,
model_20140109_637429284,11,0,6,
model_20140130_912999540,13,2,216,
model_20140205_954857783,11,2,27,
model_20140207_1303140975,12,0,1,
model_20140209_1382642350,41,7,87480,
model_20140209_1802656178,26,4,480,
model_20140209_34267674,44,14,204120,
model_20140209_576830157,27,12,10800,
model_20140209_738203734,51,21,2.45e6,
model_20140223_789634838,26,0,1260,
model_20140225_1829795152,14,1,144,
model_20140227_386614568,75,0,652800,
model_20140227_661956564,47,0,1.12e9,
model_20140301_728202228,49,0,4.51e9,
model_20140303_1487935744,23,0,5632,
model_20140305_1485634182,28,3,399750,
model_20140305_1745306436,20,1,90,
model_20140305_850513381,63,43,4.50e11,
model_20140306_1313194877,32,0,34632,
model_20140306_1607259562,43,6,2.80e7,
model_20140306_1994550432,12,0,168,
model_20140310_1022041880,88,0,1.66e13,
model_20140310_1916029542,144,0,4.21e18,
model_20140319_1506613330,16,0,84,
model_20140320_391816142,11,0,8,
model_20140321_1655023261,14,0,1,
model_20140322_1340045027,10,0,32,
model_20140324_1142291623,11,0,31,
model_20140326_1693773444,13,3,36,
model_20140326_183546394,11,0,16,
model_20140326_801743865,13,8,90,
model_20140328_1965511118,10,0,2,
model_20140401_1527258088,13,9,96,
model_20140402_1108338221,10,0,48,
model_20140403_1254324003,28,0,512,
model_20140403_1425048263,12,0,42,
model_20140403_1688136935,45,3,1.70e9,
model_20140408_1553357169,11,8,120,
model_20140409_1370428339,24,8,840,
model_20140410_1285833987,11,10,576,
model_20140410_1905141388,11,10,496,
model_20140410_454790336,11,11,71,
model_20140411_114609198,12,7,93,
model_20140411_1148485857,12,12,96,
model_20140411_1742095150,12,12,96,
model_20140411_279155356,11,1,128,
model_20140420_1899694432,55,3,8.88e11,
model_20140421_782765396,19,0,1600,
model_20140422_1825362104,21,0,448,
model_20140422_2137156564,35,3,589824,
model_20140423_1716161596,42,0,86400,
model_20140423_1890396897,36,3,294912,
model_20140423_277886534,21,0,256,
model_20140423_813378270,48,2,6.40e6,
model_20140423_969548559,49,1,1.20e7,
model_20140424_1672030888,65,11,1.21e9,
model_20140425_366530615,11,1,24,
model_20140427_1594857347,19,5,672,
model_20140428_1043688075,56,1,3.10e8,
model_20140428_1127346099,72,1,6.53e11,
model_20140428_1301432646,72,1,6.53e11,
model_20140428_1917957920,63,1,8.71e9,
model_20140430_1345238885,17,0,196,
model_20140430_1532303117,32,1,1728,
model_20140503_110898123,16,2,288,
model_20140503_2024413965,16,0,558,
model_20140508_530056624,36,23,403200,
model_20140508_536536644,36,8,403200,
model_20140509_978687642,10,0,2,
model_20140511_603377022,15,0,24,
model_20140514_1151327844,43,9,37800,
model_20140524_520707568,11,0,12,
model_20140530_1262796172,10,0,12,
model_20140604_731553244,14,0,120,
model_20140605_572628146,11,0,64,
model_20140613_1129301242,10,0,18,
model_20140613_2054294739,10,2,18,
model_20140614_1407759983,29,3,24576,
model_20140614_1599125118,13,0,96,
model_20140614_1989695192,29,8,1.57e6,
model_20140614_2029282468,54,1,5.97e8,
model_20140614_436006902,25,9,3072,
model_20140614_81946339,22,2,40960,
model_20140615_1417385367,35,0,48384,
model_20140615_1477062295,33,0,24180,
model_20140615_1755551630,24,0,84,
model_20140628_1177734570,29,12,2880,
model_20140629_1128400878,42,0,21952,
model_20140630_1564361664,10,0,12,
model_20140710_2059561340,33,4,15120,
model_20140728_1532422166,23,20,476,
model_20140801_240918546,22,0,108,
model_20140819_1020837515,63,5,3.30e6,
model_20140819_1738890661,10,0,4,
model_20140819_2062208658,26,0,128,
model_20140819_424669215,17,0,120,
model_20140819_535519547,13,0,3,
model_20140819_709073537,43,1,2448,
model_20140819_914542251,62,0,18624,
model_20140819_940483638,11,0,28,
model_20140820_1349433690,22,0,128,
model_20140823_1972464026,35,3,6144,
model_20140824_1421620261,51,11,36720,
model_20140824_1698583194,66,0,1.23e7,
model_20140824_2115796112,43,6,23040,
model_20140824_525404983,47,0,18432,
model_20140825_2017008690,58,1,483840,
model_20140826_2051139991,31,0,960,
model_20140902_941000321,13,0,12,
model_20140905_2124104947,10,0,62,
model_20140905_372428255,13,0,45,
model_20140914_1816201365,37,2,7200,
model_20140914_775838300,24,0,32,
model_20140917_195564800,16,0,2,
model_20140925_285704903,20,0,4,
model_20141006_1946000492,14,0,24,
model_20141017_1234330746,38,11,1.58e6,
model_20141018_2078980023,87,0,1.53e11,
model_20141018_811394530,23,0,528,
model_20141021_386995832,24,1,12288,
model_20141023_1082000051,37,15,2.91e6,
model_20141023_1600573567,20,0,992,
model_20141023_437365215,35,4,71424,
model_20141029_1107505375,12,0,3,
model_20141029_1924517902,53,0,18,
model_20141030_1194865372,48,0,8.30e8,
model_20141030_1477913256,12,1,12,
model_20141102_1778359466,23,0,1920,
model_20141103_285596543,25,2,9072,
model_20141103_771283347,10,3,18,
model_20141104_1527188029,140,0,1.28e30,
model_20141106_1014782772,17,0,1524,
model_20141106_309720283,57,0,5.10e9,
model_20141106_687094706,65,0,6.11e10,
model_20141107_377655341,24,2,62464,
model_20141107_655975442,10,1,24,
model_20141108_202761108,10,0,18,
model_20141108_701198022,11,0,24,
model_20141109_1274255950,11,1,12,
model_20141111_2120296387,51,0,830,
model_20141113_1414990983,46,1,1.21e10,
model_20141113_346832425,56,5,1.49e12,
model_20141114_653359930,32,9,2.69e6,
model_20141116_913921823,44,0,320,
model_20141119_1459706454,34,0,48,
model_20141119_1676144838,14,0,8,
model_20141129_1031364,12,2,147,
model_20141129_1141626102,12,0,135,
model_20141129_1168519534,12,2,63,
model_20141129_1642511009,34,14,129654,
model_20141129_2117240468,12,2,147,
model_20141129_264528063,13,1,343,
model_20141129_6569546,25,1,4320,
model_20141129_966803644,12,0,405,
model_20141202_104116345,10,2,18,
model_20141202_107430422,36,0,580608,
model_20141205_2005181775,33,0,673785,
model_20141212_523199394,15,0,213,
model_20150105_1168070568,17,0,40,
model_20150109_425963323,37,0,10368,
model_20150114_50814742,33,11,6804,
model_20150120_214372699,40,0,1.07e9,
model_20150208_1225865238,42,13,33264,
model_20150208_2120373387,25,5,1008,
model_20150209_1183047948,29,19,1.18e6,
model_20150212_1516383976,12,1,18,
model_20150222_2069201003,13,0,28,
model_20150222_409043024,52,2,811008,
model_20150223_339293957,26,7,672,
