Model,BooleanFeatures,GroupKeywords,BooleanConstraints,FeatureAttributes,GroupCardinality,NumericConstraints,FeatureCardinality,AggregateFunctions,TypeFeatures,StringConstraints,Imports
model_20110216_608697455,14,9,4,0,0,0,0,0,0,0,0
model_20110222_2078967171,48,38,5,0,0,0,0,0,0,0,0
model_20110301_216655728,10,9,0,0,0,0,0,0,0,0,0
model_20110306_314567479,14,9,0,0,0,0,0,0,0,0,0
model_20110310_1849309646,23,12,0,0,0,0,0,0,0,0,0
model_20110318_225131257,15,10,4,0,0,0,0,0,0,0,0
model_20110323_789959080,15,9,0,0,0,0,0,0,0,0,0
model_20110328_1177934440,18,16,3,0,0,0,0,0,0,0,0
model_20110329_10104623,41,17,5,0,0,0,0,0,0,0,0
model_20110330_919429247,25,16,2,0,0,0,0,0,0,0,0
model_20110401_868452735,14,8,0,0,0,0,0,0,0,0,0
model_20110406_1047532859,29,19,3,0,0,0,0,0,0,0,0
model_20110406_353034837,40,20,0,0,0,0,0,0,0,0,0
model_20110406_656545830,17,15,0,0,0,0,0,0,0,0,0
model_20110407_1283128166,51,38,1,0,0,0,0,0,0,0,0
model_20110428_1131293346,13,12,0,0,0,0,0,0,0,0,0
model_20110428_553405269,37,24,4,0,0,0,0,0,0,0,0
model_20110507_674768061,40,25,17,0,0,0,0,0,0,0,0
model_20110516_1331478109,88,58,59,0,0,0,0,0,0,0,0
model_20110519_1142211980,14,11,0,0,0,0,0,0,0,0,0
model_20110519_503436691,11,6,0,0,0,0,0,0,0,0,0
model_20110525_1619420630,45,32,5,0,0,0,0,0,0,0,0
model_20110525_564104612,27,20,6,0,0,0,0,0,0,0,0
model_20110525_928187171,14,13,0,0,0,0,0,0,0,0,0
model_20110527_1847306763,63,59,46,0,0,0,0,0,0,0,0
model_20110601_1103941862,12,9,2,0,0,0,0,0,0,0,0
model_20110605_1465859222,17,14,0,0,0,0,0,0,0,0,0
model_20110622_260389190,12,7,0,0,0,0,0,0,0,0,0
model_20110704_328391695,172,77,0,0,0,0,0,0,0,0,0
model_20110704_555218409,11,10,0,0,0,0,0,0,0,0,0
model_20110712_1373520081,66,53,2,0,0,0,0,0,0,0,0
model_20110715_945252556,32,22,0,0,0,0,0,0,0,0,0
model_20110718_866950306,20,15,0,0,0,0,0,0,0,0,0
model_20110722_419227445,25,24,0,0,0,0,0,0,0,0,0
model_20110725_452580960,34,29,0,0,0,0,0,0,0,0,0
model_20110809_1799855518,25,12,0,0,0,0,0,0,0,0,0
model_20110823_1386366267,15,12,1,0,0,0,0,0,0,0,0
model_20110823_553386338,21,20,0,0,0,0,0,0,0,0,0
model_20110826_1180494500,24,23,0,0,0,0,0,0,0,0,0
model_20110826_1555954181,24,23,0,0,0,0,0,0,0,0,0
model_20110826_1574631601,52,51,4,0,0,0,0,0,0,0,0
model_20110826_1744501275,24,23,0,0,0,0,0,0,0,0,0
model_20110826_252647654,24,23,0,0,0,0,0,0,0,0,0
model_20110826_819334011,24,23,0,0,0,0,0,0,0,0,0
model_20110915_1159959623,10,5,2,0,0,0,0,0,0,0,0
model_20110919_127780100,37,14,6,0,0,0,0,0,0,0,0
model_20110925_62365838,23,19,0,0,0,0,0,0,0,0,0
model_20110926_400852996,36,33,1,0,0,0,0,0,0,0,0
model_20110926_608554224,30,27,2,0,0,0,0,0,0,0,0
model_20111020_455520177,11,7,0,0,0,0,0,0,0,0,0
model_20111025_1408959776,13,7,0,0,0,0,0,0,0,0,0
model_20111027_1380540076,10,9,0,0,0,0,0,0,0,0,0
model_20111027_668940289,29,24,4,0,0,0,0,0,0,0,0
model_20111027_966072474,10,9,0,0,0,0,0,0,0,0,0
model_20111029_1654942500,37,14,6,0,0,0,0,0,0,0,0
model_20111031_386778867,25,12,0,0,0,0,0,0,0,0,0
model_20111111_1026730216,37,27,0,0,0,0,0,0,0,0,0
model_20111129_1932950448,13,11,0,0,0,0,0,0,0,0,0
model_20111130_1614470655,77,65,0,0,0,0,0,0,0,0,0
model_20111201_1252018702,61,24,2,0,0,0,0,0,0,0,0
model_20111201_372659565,61,24,0,0,0,0,0,0,0,0,0
model_20111214_733452875,15,14,0,0,0,0,0,0,0,0,0
model_20111220_1184087779,15,7,1,0,0,0,0,0,0,0,0
model_20111220_1450733948,41,12,0,0,0,0,0,0,0,0,0
model_20120109_1808102333,18,15,2,0,0,0,0,0,0,0,0
model_20120110_1094246588,10,6,2,0,0,0,0,0,0,0,0
model_20120110_1256867454,10,6,2,0,0,0,0,0,0,0,0
model_20120110_139114401,10,6,2,0,0,0,0,0,0,0,0
model_20120110_1719396361,10,6,2,0,0,0,0,0,0,0,0
model_20120110_1754443954,10,6,1,0,0,0,0,0,0,0,0
model_20120110_855603964,10,6,2,0,0,0,0,0,0,0,0
model_20120111_1667229430,24,16,2,0,0,0,0,0,0,0,0
model_20120113_1803352101,43,20,2,0,0,0,0,0,0,0,0
model_20120113_1950870026,10,6,1,0,0,0,0,0,0,0,0
model_20120122_258977494,19,12,5,0,0,0,0,0,0,0,0
model_20120124_94644767,12,8,0,0,0,0,0,0,0,0,0
model_20120130_333619036,31,20,0,0,0,0,0,0,0,0,0
model_20120201_1444061231,38,22,11,0,0,0,0,0,0,0,0
model_20120201_865979127,28,14,17,0,0,0,0,0,0,0,0
model_20120201_899753062,27,12,17,0,0,0,0,0,0,0,0
model_20120202_114979109,22,13,5,0,0,0,0,0,0,0,0
model_20120202_1596034358,10,7,1,0,0,0,0,0,0,0,0
model_20120205_24117969,34,33,0,0,0,0,0,0,0,0,0
model_20120229_1103715736,14,10,0,0,0,0,0,0,0,0,0
model_20120314_1438691117,13,12,0,0,0,0,0,0,0,0,0
model_20120328_1227899142,21,14,2,0,0,0,0,0,0,0,0
model_20120328_1309817018,14,12,0,0,0,0,0,0,0,0,0
model_20120328_1357539597,18,13,1,0,0,0,0,0,0,0,0
model_20120328_1373483522,13,11,2,0,0,0,0,0,0,0,0
model_20120328_1412454948,36,24,0,0,0,0,0,0,0,0,0
model_20120328_1667195252,24,12,1,0,0,0,0,0,0,0,0
model_20120328_1814590478,36,24,0,0,0,0,0,0,0,0,0
model_20120328_1974817485,13,7,0,0,0,0,0,0,0,0,0
model_20120328_288933955,17,16,3,0,0,0,0,0,0,0,0
model_20120328_361613983,16,13,2,0,0,0,0,0,0,0,0
model_20120328_523540818,10,9,0,0,0,0,0,0,0,0,0
model_20120328_573707444,34,20,1,0,0,0,0,0,0,0,0
model_20120328_593032745,19,16,0,0,0,0,0,0,0,0,0
model_20120328_663906927,28,18,1,0,0,0,0,0,0,0,0
model_20120328_794090001,22,20,0,0,0,0,0,0,0,0,0
model_20120328_810464459,17,16,0,0,0,0,0,0,0,0,0
model_20120329_788560154,55,46,0,0,0,0,0,0,0,0,0
model_20120408_404695779,70,30,1,0,0,0,0,0,0,0,0
model_20120411_196667302,26,19,3,0,0,0,0,0,0,0,0
model_20120412_1314362396,12,9,0,0,0,0,0,0,0,0,0
model_20120418_828883554,52,27,0,0,0,0,0,0,0,0,0
model_20120419_1397354511,20,15,2,0,0,0,0,0,0,0,0
model_20120422_1648870831,14,10,2,0,0,0,0,0,0,0,0
model_20120422_2100930135,25,16,4,0,0,0,0,0,0,0,0
model_20120423_1196408273,16,10,0,0,0,0,0,0,0,0,0
model_20120423_1625073325,32,23,0,0,0,0,0,0,0,0,0
model_20120424_1703152596,59,40,0,0,0,0,0,0,0,0,0
model_20120425_1998125226,71,40,0,0,0,0,0,0,0,0,0
model_20120510_220834497,53,37,0,0,0,0,0,0,0,0,0
model_20120512_712347860,13,8,0,0,0,0,0,0,0,0,0
model_20120513_373795895,14,11,0,0,0,0,0,0,0,0,0
model_20120515_1862354569,15,12,1,0,0,0,0,0,0,0,0
model_20120522_87989914,35,7,20,0,0,0,0,0,0,0,0
model_20120528_1294065815,13,10,0,0,0,0,0,0,0,0,0
model_20120529_2101702978,35,10,23,0,0,0,0,0,0,0,0
model_20120531_2078087379,17,13,3,0,0,0,0,0,0,0,0
model_20120609_84195762,26,19,0,0,0,0,0,0,0,0,0
model_20120627_1512389149,11,7,2,0,0,0,0,0,0,0,0
model_20120701_1498696792,11,10,0,0,0,0,0,0,0,0,0
model_20120701_899073101,11,10,0,0,0,0,0,0,0,0,0
model_20120705_77954373,22,17,0,0,0,0,0,0,0,0,0
model_20120710_919309758,19,7,0,0,0,0,0,0,0,0,0
model_20120717_770767926,11,7,0,0,0,0,0,0,0,0,0
model_20120718_813832704,11,10,1,0,0,0,0,0,0,0,0
model_20120722_2065280700,13,4,1,0,0,0,0,0,0,0,0
model_20120725_1460954667,97,67,1,0,0,0,0,0,0,0,0
model_20120728_275737618,14,4,0,0,0,0,0,0,0,0,0
model_20120731_787433291,43,29,3,0,0,0,0,0,0,0,0
model_20120801_1784537083,12,8,0,0,0,0,0,0,0,0,0
model_20120806_904481092,17,12,1,0,0,0,0,0,0,0,0
model_20120822_650185552,25,16,6,0,0,0,0,0,0,0,0
model_20120823_304633016,16,11,7,0,0,0,0,0,0,0,0
model_20120824_761159432,23,15,4,0,0,0,0,0,0,0,0
model_20120828_1516795545,13,11,0,0,0,0,0,0,0,0,0
model_20120829_1418879889,10,8,0,0,0,0,0,0,0,0,0
model_20120829_191972511,168,151,46,0,0,0,0,0,0,0,0
model_20120829_28461699,11,6,2,0,0,0,0,0,0,0,0
model_20120829_881090911,10,6,0,0,0,0,0,0,0,0,0
model_20120902_865058601,19,11,0,0,0,0,0,0,0,0,0
model_20120904_1604580471,13,7,0,0,0,0,0,0,0,0,0
model_20120905_104354355,13,12,0,0,0,0,0,0,0,0,0
model_20120909_341305614,32,17,2,0,0,0,0,0,0,0,0
model_20120915_487659597,20,11,1,0,0,0,0,0,0,0,0
model_20120920_383492576,11,10,1,0,0,0,0,0,0,0,0
model_20121015_1348696629,10,6,1,0,0,0,0,0,0,0,0
model_20121017_2007593800,10,7,0,0,0,0,0,0,0,0,0
model_20121018_1186774722,16,12,0,0,0,0,0,0,0,0,0
model_20121018_1495134161,17,12,0,0,0,0,0,0,0,0,0
model_20121018_1550648286,16,12,0,0,0,0,0,0,0,0,0
model_20121018_1578042435,17,12,0,0,0,0,0,0,0,0,0
model_20121018_1639434192,17,12,0,0,0,0,0,0,0,0,0
model_20121018_1701181193,17,12,0,0,0,0,0,0,0,0,0
model_20121018_1875808662,16,12,0,0,0,0,0,0,0,0,0
model_20121018_1970318852,16,12,0,0,0,0,0,0,0,0,0
model_20121018_201916182,16,12,0,0,0,0,0,0,0,0,0
model_20121018_242475712,16,12,0,0,0,0,0,0,0,0,0
model_20121018_271963732,16,12,0,0,0,0,0,0,0,0,0
model_20121018_436901160,16,12,0,0,0,0,0,0,0,0,0
model_20121018_795335675,16,12,0,0,0,0,0,0,0,0,0
model_20121018_820869482,16,12,0,0,0,0,0,0,0,0,0
model_20121018_880874071,16,12,0,0,0,0,0,0,0,0,0
model_20121019_1128529660,14,8,0,0,0,0,0,0,0,0,0
model_20121023_1328975384,14,11,0,0,0,0,0,0,0,0,0
model_20121023_356761254,12,11,0,0,0,0,0,0,0,0,0
model_20121025_1453237615,20,19,0,0,0,0,0,0,0,0,0
model_20121025_1656878048,26,25,0,0,0,0,0,0,0,0,0
model_20121026_334751192,28,27,0,0,0,0,0,0,0,0,0
model_20121102_443205816,26,17,0,0,0,0,0,0,0,0,0
model_20121102_768518520,14,8,0,0,0,0,0,0,0,0,0
model_20121106_1816491064,23,12,0,0,0,0,0,0,0,0,0
model_20121123_1014773113,16,14,1,0,0,0,0,0,0,0,0
model_20121123_1047250318,16,14,2,0,0,0,0,0,0,0,0
model_20121123_1266693931,16,12,0,0,0,0,0,0,0,0,0
model_20121123_1445508018,16,14,0,0,0,0,0,0,0,0,0
model_20121123_1588832561,16,14,0,0,0,0,0,0,0,0,0
model_20121123_1668268132,13,9,2,0,0,0,0,0,0,0,0
model_20121123_1672558767,15,14,2,0,0,0,0,0,0,0,0
model_20121123_1692800929,16,14,1,0,0,0,0,0,0,0,0
model_20121123_1807427529,17,16,1,0,0,0,0,0,0,0,0
model_20121123_2085968892,17,15,0,0,0,0,0,0,0,0,0
model_20121123_388334786,16,14,2,0,0,0,0,0,0,0,0
model_20121123_638033800,14,12,0,0,0,0,0,0,0,0,0
model_20121123_913179730,17,12,1,0,0,0,0,0,0,0,0
model_20121212_1167666293,15,14,2,0,0,0,0,0,0,0,0
model_20121212_425431925,16,12,0,0,0,0,0,0,0,0,0
model_20121213_681234650,33,32,0,0,0,0,0,0,0,0,0
model_20121214_211817376,14,9,2,0,0,0,0,0,0,0,0
model_20121219_1714348674,10,9,0,0,0,0,0,0,0,0,0
model_20121219_629525870,18,14,9,0,0,0,0,0,0,0,0
model_20130105_1019508207,24,16,4,0,0,0,0,0,0,0,0
model_20130106_749900457,21,8,0,0,0,0,0,0,0,0,0
model_20130115_768867592,11,7,1,0,0,0,0,0,0,0,0
model_20130116_1542765516,10,8,0,0,0,0,0,0,0,0,0
model_20130116_382639902,31,19,9,0,0,0,0,0,0,0,0
model_20130117_2075912065,13,8,5,0,0,0,0,0,0,0,0
model_20130121_710180273,10,7,3,0,0,0,0,0,0,0,0
model_20130122_1064508817,12,9,7,0,0,0,0,0,0,0,0
model_20130122_243381566,14,9,0,0,0,0,0,0,0,0,0
model_20130122_92211527,11,6,7,0,0,0,0,0,0,0,0
model_20130123_686198065,40,32,0,0,0,0,0,0,0,0,0
model_20130125_189285641,18,16,1,0,0,0,0,0,0,0,0
model_20130219_1778040846,40,35,0,0,0,0,0,0,0,0,0
model_20130220_406091727,43,25,5,0,0,0,0,0,0,0,0
model_20130224_1469220523,10,8,0,0,0,0,0,0,0,0,0
model_20130226_1908057354,16,10,3,0,0,0,0,0,0,0,0
model_20130302_1361528923,10,7,3,0,0,0,0,0,0,0,0
model_20130302_379367837,10,6,1,0,0,0,0,0,0,0,0
model_20130305_204544380,13,8,2,0,0,0,0,0,0,0,0
model_20130305_522520932,16,10,3,0,0,0,0,0,0,0,0
model_20130307_609838668,176,139,4,0,0,0,0,0,0,0,0
model_20130309_1354780318,11,8,0,0,0,0,0,0,0,0,0
model_20130311_1184229274,11,9,0,0,0,0,0,0,0,0,0
model_20130324_1541392486,51,35,0,0,0,0,0,0,0,0,0
model_20130410_2115212559,11,9,0,0,0,0,0,0,0,0,0
model_20130414_861625706,15,9,0,0,0,0,0,0,0,0,0
model_20130418_1158438101,19,9,2,0,0,0,0,0,0,0,0
model_20130418_1960440366,29,14,4,0,0,0,0,0,0,0,0
model_20130422_1348727660,19,10,0,0,0,0,0,0,0,0,0
model_20130422_139902368,40,32,0,0,0,0,0,0,0,0,0
model_20130426_1685243628,16,11,0,0,0,0,0,0,0,0,0
model_20130508_1842381745,16,12,0,0,0,0,0,0,0,0,0
model_20130510_203163945,18,10,0,0,0,0,0,0,0,0,0
model_20130522_1326579656,45,18,0,0,0,0,0,0,0,0,0
model_20130522_2044729096,31,21,0,0,0,0,0,0,0,0,0
model_20130529_1162054266,16,14,1,0,0,0,0,0,0,0,0
model_20130529_1165512118,10,9,0,0,0,0,0,0,0,0,0
model_20130529_1187431770,16,14,1,0,0,0,0,0,0,0,0
model_20130529_167247656,16,14,1,0,0,0,0,0,0,0,0
model_20130529_1911302663,16,14,1,0,0,0,0,0,0,0,0
model_20130529_2135483929,16,12,2,0,0,0,0,0,0,0,0
model_20130529_51708559,16,12,2,0,0,0,0,0,0,0,0
model_20130529_552715089,17,14,1,0,0,0,0,0,0,0,0
model_20130604_1500555803,13,12,0,0,0,0,0,0,0,0,0
model_20130619_405989942,10,9,0,0,0,0,0,0,0,0,0
model_20130621_2143921379,29,20,5,0,0,0,0,0,0,0,0
model_20130627_888588099,17,12,0,0,0,0,0,0,0,0,0
model_20130703_1107240012,64,18,2,0,0,0,0,0,0,0,0
model_20130716_384525556,17,11,0,0,0,0,0,0,0,0,0
model_20130722_443972122,12,11,0,0,0,0,0,0,0,0,0
model_20130725_1746580783,16,7,1,0,0,0,0,0,0,0,0
model_20130725_1929838118,41,25,0,0,0,0,0,0,0,0,0
model_20130725_608010428,12,11,0,0,0,0,0,0,0,0,0
model_20130726_597280131,47,33,7,0,0,0,0,0,0,0,0
model_20130731_2029107317,76,40,0,0,0,0,0,0,0,0,0
model_20130807_1787614695,13,12,0,0,0,0,0,0,0,0,0
model_20130808_465499656,22,13,0,0,0,0,0,0,0,0,0
model_20130809_353548541,57,32,0,0,0,0,0,0,0,0,0
model_20130811_391981530,41,26,11,0,0,0,0,0,0,0,0
model_20130812_1882708509,41,24,10,0,0,0,0,0,0,0,0
model_20130812_690840910,30,17,6,0,0,0,0,0,0,0,0
model_20130815_1890929461,56,31,11,0,0,0,0,0,0,0,0
model_20130818_278315719,10,8,0,0,0,0,0,0,0,0,0
model_20130820_1465112187,49,48,0,0,0,0,0,0,0,0,0
model_20130821_1446947208,49,48,0,0,0,0,0,0,0,0,0
model_20130821_361829065,30,29,0,0,0,0,0,0,0,0,0
model_20130821_470005647,43,42,0,0,0,0,0,0,0,0,0
model_20130908_1057721135,14,13,0,0,0,0,0,0,0,0,0
model_20130908_1070185514,366,41,181,0,0,0,0,0,0,0,0
model_20130908_2094539725,81,68,0,0,0,0,0,0,0,0,0
model_20130911_2001583567,34,20,0,0,0,0,0,0,0,0,0
model_20130916_1001858303,15,14,2,0,0,0,0,0,0,0,0
model_20130916_1112744253,15,14,2,0,0,0,0,0,0,0,0
model_20130916_1448418245,14,13,2,0,0,0,0,0,0,0,0
model_20130916_1467348272,16,15,2,0,0,0,0,0,0,0,0
model_20130916_156611854,17,12,0,0,0,0,0,0,0,0,0
model_20130916_1649901124,16,14,0,0,0,0,0,0,0,0,0
model_20130916_1894002979,16,14,1,0,0,0,0,0,0,0,0
model_20130916_1980915056,15,14,2,0,0,0,0,0,0,0,0
model_20130916_1983257725,16,14,0,0,0,0,0,0,0,0,0
model_20130916_2072761889,15,14,2,0,0,0,0,0,0,0,0
model_20130916_302923469,16,14,2,0,0,0,0,0,0,0,0
model_20130916_330769314,17,16,1,0,0,0,0,0,0,0,0
model_20130916_552778902,16,15,1,0,0,0,0,0,0,0,0
model_20130916_667715515,16,14,1,0,0,0,0,0,0,0,0
model_20130916_882364260,15,14,2,0,0,0,0,0,0,0,0
model_20130916_894347834,15,14,2,0,0,0,0,0,0,0,0
model_20130917_1805517149,13,8,4,0,0,0,0,0,0,0,0
model_20130917_737900063,13,8,4,0,0,0,0,0,0,0,0
model_20131016_1224723724,11,10,2,0,0,0,0,0,0,0,0
model_20131028_1719041666,19,18,0,0,0,0,0,0,0,0,0
model_20131109_2060894287,14,8,3,0,0,0,0,0,0,0,0
model_20131111_1434736548,34,23,3,0,0,0,0,0,0,0,0
model_20131111_1486670620,21,9,0,0,0,0,0,0,0,0,0
model_20131112_1165253679,27,14,0,0,0,0,0,0,0,0,0
model_20131112_1191150070,57,47,1,0,0,0,0,0,0,0,0
model_20131112_1315617761,58,28,6,0,0,0,0,0,0,0,0
model_20131112_1353790761,23,16,0,0,0,0,0,0,0,0,0
model_20131112_1399418967,35,22,0,0,0,0,0,0,0,0,0
model_20131112_1591180910,29,20,0,0,0,0,0,0,0,0,0
model_20131112_1592384504,32,18,0,0,0,0,0,0,0,0,0
model_20131112_1617262618,30,22,0,0,0,0,0,0,0,0,0
model_20131112_1630582425,28,15,0,0,0,0,0,0,0,0,0
model_20131112_1825068383,25,15,5,0,0,0,0,0,0,0,0
model_20131112_1840652917,17,14,1,0,0,0,0,0,0,0,0
model_20131112_1855381012,31,16,0,0,0,0,0,0,0,0,0
model_20131112_2028027455,13,8,0,0,0,0,0,0,0,0,0
model_20131112_330151541,21,12,0,0,0,0,0,0,0,0,0
model_20131112_356575914,20,10,0,0,0,0,0,0,0,0,0
model_20131112_605989901,25,13,0,0,0,0,0,0,0,0,0
model_20131112_64627122,13,9,0,0,0,0,0,0,0,0,0
model_20131112_817529963,40,33,0,0,0,0,0,0,0,0,0
model_20131112_832913408,17,16,0,0,0,0,0,0,0,0,0
model_20131112_990013628,10,7,0,0,0,0,0,0,0,0,0
model_20131113_2067550021,42,36,4,0,0,0,0,0,0,0,0
model_20131114_87095598,57,48,4,0,0,0,0,0,0,0,0
model_20131121_194495737,12,7,2,0,0,0,0,0,0,0,0
model_20131122_1083650489,15,14,0,0,0,0,0,0,0,0,0
model_20131122_1241273029,18,17,0,0,0,0,0,0,0,0,0
model_20131122_1558809462,26,23,0,0,0,0,0,0,0,0,0
model_20131122_1573422851,15,10,0,0,0,0,0,0,0,0,0
model_20131122_1877947099,15,10,0,0,0,0,0,0,0,0,0
model_20131122_224574976,11,10,0,0,0,0,0,0,0,0,0
model_20131122_23346211,15,10,0,0,0,0,0,0,0,0,0
model_20131122_641443746,14,13,0,0,0,0,0,0,0,0,0
model_20131122_913576973,23,21,0,0,0,0,0,0,0,0,0
model_20131124_646639708,16,15,1,0,0,0,0,0,0,0,0
model_20131125_731391866,18,17,1,0,0,0,0,0,0,0,0
model_20131128_2046989275,15,14,0,0,0,0,0,0,0,0,0
model_20131129_1765219729,14,10,2,0,0,0,0,0,0,0,0
model_20131129_1795005487,10,6,2,0,0,0,0,0,0,0,0
model_20131129_2135897376,10,6,2,0,0,0,0,0,0,0,0
model_20131201_820966647,18,17,1,0,0,0,0,0,0,0,0
model_20131202_1494824194,34,33,0,0,0,0,0,0,0,0,0
model_20131202_1575628003,19,18,0,0,0,0,0,0,0,0,0
model_20131202_1775789712,50,43,0,0,0,0,0,0,0,0,0
model_20131202_533920013,19,18,0,0,0,0,0,0,0,0,0
model_20131202_715513367,22,21,0,0,0,0,0,0,0,0,0
model_20131203_151571988,54,45,1,0,0,0,0,0,0,0,0
model_20131206_656913635,13,12,2,0,0,0,0,0,0,0,0
model_20131206_684654596,12,8,2,0,0,0,0,0,0,0,0
model_20131210_413521746,13,8,3,0,0,0,0,0,0,0,0
model_20131217_806985744,11,6,0,0,0,0,0,0,0,0,0
model_20140101_941325443,10,9,0,0,0,0,0,0,0,0,0
model_20140109_637429284,11,8,0,0,0,0,0,0,0,0,0
model_20140130_912999540,13,10,2,0,0,0,0,0,0,0,0
model_20140205_954857783,11,6,2,0,0,0,0,0,0,0,0
model_20140207_1303140975,12,11,0,0,0,0,0,0,0,0,0
model_20140209_1382642350,41,18,7,0,0,0,0,0,0,0,0
model_20140209_1802656178,26,8,4,0,0,0,0,0,0,0,0
model_20140209_34267674,44,22,14,0,0,0,0,0,0,0,0
model_20140209_576830157,27,14,12,0,0,0,0,0,0,0,0
model_20140209_738203734,51,28,21,0,0,0,0,0,0,0,0
model_20140223_789634838,26,15,0,0,0,0,0,0,0,0,0
model_20140225_1829795152,14,9,1,0,0,0,0,0,0,0,0
model_20140227_386614568,75,48,0,0,0,0,0,0,0,0,0
