Model,BooleanFeatures,GroupKeywords,BooleanConstraints,FeatureAttributes,GroupCardinality,NumericConstraints,FeatureCardinality,AggregateFunctions,TypeFeatures,StringConstraints,Imports
security-CVE-VarelaVaca2020-2007-4841,145,21,112,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2007-4879,105,17,82,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2007-5045,117,20,79,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2007-5337,102,22,145,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2007-5340,143,21,110,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-0016,115,18,91,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-0028,167,20,225,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-0412,151,21,118,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-0413,151,21,118,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-0414,103,17,80,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-0415,151,21,118,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-0416,151,21,118,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-0418,152,22,118,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-0419,103,17,80,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-0420,151,21,118,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-0592,103,17,80,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-0593,114,17,91,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-1233,154,21,121,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-1234,154,21,121,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-1235,155,21,122,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-1236,154,21,121,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-1237,154,21,121,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-1238,105,17,82,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-1240,105,17,82,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-1241,105,17,82,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-1380,164,21,129,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-2785,161,21,128,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-2798,164,21,131,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-2799,164,21,131,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-2801,108,17,85,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-2802,164,21,131,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-2803,164,21,131,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-2805,108,17,85,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-2807,108,17,85,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-2810,108,17,85,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-2811,164,21,131,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-3835,192,21,158,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-3837,129,26,97,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-4058,180,30,138,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-4060,194,21,160,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-4061,180,30,138,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-4062,180,30,138,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-4065,180,30,138,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-4067,184,34,259,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-4068,180,30,138,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-4069,114,17,91,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-4107,170,13,134,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-5013,117,17,95,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-5016,175,21,140,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-5500,103,30,65,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-5503,169,21,136,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-5506,103,30,65,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-5507,103,30,65,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-5510,102,30,64,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-5511,103,30,65,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-5512,103,30,65,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-5513,102,30,64,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2008-7293,132,13,107,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-0352,112,19,78,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-0353,112,19,78,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-0355,107,13,86,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-0356,108,13,87,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-0357,128,17,101,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-0652,180,21,147,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-0771,180,21,147,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-0772,180,21,147,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-0773,180,21,147,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-0774,180,21,147,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-0775,180,21,147,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-0776,180,21,147,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1169,112,14,90,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1302,119,19,82,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1303,225,21,187,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1304,119,19,82,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1305,119,19,82,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1306,114,13,93,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1307,106,13,85,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1308,114,13,93,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1309,114,13,93,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1310,104,13,83,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1311,148,17,121,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1312,107,14,85,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1392,144,21,112,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1832,232,21,194,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1833,232,21,194,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1834,150,18,122,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1835,149,17,122,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1836,232,21,194,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1838,232,21,194,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1839,103,14,84,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1840,104,13,86,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-1841,232,21,194,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2044,103,18,159,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2061,107,13,88,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2065,108,13,90,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2334,129,18,99,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2335,102,16,60,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2336,101,15,60,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2432,128,17,99,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2462,137,15,94,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2463,137,15,94,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2464,133,18,87,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2465,129,15,86,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2466,129,15,86,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2467,109,13,88,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2468,106,13,85,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2469,106,13,85,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2470,122,13,103,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2471,106,13,85,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2472,131,33,94,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2535,220,22,186,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2654,127,14,105,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2662,101,13,85,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2663,122,13,103,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-2664,122,13,103,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3010,150,19,115,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3012,107,13,88,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3014,147,19,119,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3070,116,13,95,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3071,118,13,97,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3072,119,13,98,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3074,116,13,95,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3075,118,13,97,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3076,117,14,95,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3077,119,13,98,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3078,119,13,98,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3079,119,13,98,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3555,420,37,187,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3978,112,13,96,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3981,166,17,133,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3983,171,17,138,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3984,171,17,138,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3985,170,17,137,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3986,170,17,137,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3987,170,17,137,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2009-3988,125,17,98,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0159,169,30,121,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0160,163,17,135,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0167,155,20,99,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0169,154,19,99,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0171,154,19,99,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0173,248,21,207,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0174,248,21,207,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0175,245,21,204,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0176,248,21,207,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0177,166,17,138,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0178,166,17,138,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0179,243,21,202,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0181,168,17,140,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0182,248,21,207,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0220,114,13,98,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-0648,115,13,99,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-1196,142,19,95,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-1199,144,20,95,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-1200,142,19,95,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-1201,139,19,95,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-1202,142,19,95,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-1207,208,17,178,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-1210,239,17,202,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-1585,293,21,252,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-1728,120,18,149,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-1990,118,13,102,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-2760,267,21,226,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-2764,267,21,226,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-2765,267,21,226,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-2766,267,21,226,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-2767,267,21,226,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-2769,267,21,226,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-2770,281,31,437,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3131,269,22,226,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3166,267,21,226,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3167,267,21,226,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3168,267,21,226,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3169,267,21,226,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3170,276,21,235,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3173,276,21,235,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3174,166,19,117,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3176,180,19,122,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3177,186,17,158,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3178,276,21,235,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3181,276,21,235,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3182,276,21,235,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3183,276,21,235,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3766,191,17,163,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3767,191,17,163,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3768,288,21,247,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3769,305,33,479,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3770,193,18,164,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3771,192,17,164,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3772,192,17,164,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3773,192,17,164,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3774,192,17,164,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3775,192,17,164,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3776,288,21,247,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3778,179,19,127,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-3804,172,31,123,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-4699,184,13,150,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2010-5074,309,21,264,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0051,195,17,167,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0053,293,21,252,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0054,195,17,167,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0055,195,17,167,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0056,195,17,167,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0057,195,17,167,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0058,205,25,325,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0059,195,17,167,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0061,180,19,133,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0065,206,18,174,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0066,202,17,174,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0067,202,17,174,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0069,221,21,171,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0070,221,21,171,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0071,315,31,504,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0072,206,19,137,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0073,204,18,174,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0074,206,19,137,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0075,206,19,137,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0076,212,25,339,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0077,206,19,137,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0078,206,19,137,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0080,206,19,137,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0083,306,21,264,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0084,215,19,150,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-0085,306,21,264,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-1300,1246,24,2428,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-1307,182,15,325,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-1712,203,17,175,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2362,306,21,264,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2363,306,21,264,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2364,127,15,89,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2365,127,15,89,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2366,278,19,230,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2370,167,13,140,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2371,321,22,266,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2372,267,21,448,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2373,318,21,266,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2374,257,17,217,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2375,269,17,229,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2376,245,17,215,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2377,318,21,266,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2378,221,19,162,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2605,257,17,217,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2669,127,13,111,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2670,127,13,111,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2980,172,15,130,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2981,202,19,147,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2982,255,19,180,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2983,282,19,195,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2984,223,19,162,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2985,175,21,131,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2987,203,21,160,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2988,159,21,115,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2989,175,21,131,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2991,175,21,131,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2992,168,21,127,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2995,370,21,310,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2997,219,19,175,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-2999,357,21,300,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3000,370,21,310,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3001,236,21,187,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3002,246,17,201,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3003,246,17,201,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3004,107,17,72,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3005,236,21,187,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3079,2815,34,2927,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3101,2309,17,4582,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3232,377,21,317,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3647,253,17,222,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3648,276,17,235,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3650,276,17,235,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3652,297,17,256,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3653,300,23,486,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3654,297,17,256,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3659,388,41,308,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3660,126,19,76,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3661,126,19,76,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3663,120,19,73,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3664,386,25,608,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3665,126,19,76,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3666,267,21,448,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3670,346,21,287,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3671,126,19,76,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3841,145,13,1,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-3866,247,17,202,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2011-4486,111,18,7,0,0,0,0,0,0,0,0
